Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,642.2000122070312,646.9000244140625,638.0,641.3499755859375,641.3499755859375,8295548
2024-01-02,641.3499755859375,648.0,633.8499755859375,639.4500122070312,639.4500122070312,15164482
2024-01-03,639.3499755859375,648.0,635.7999877929688,643.4500122070312,643.4500122070312,14571772
2024-01-04,642.5,646.4000244140625,638.6500244140625,642.75,642.75,13883388
2024-01-05,645.0,651.75,637.75,641.9500122070312,641.9500122070312,15984585
2024-01-08,640.0,645.0,625.0499877929688,627.0,627.0,14739531
2024-01-09,632.0,634.3499755859375,624.5,625.4000244140625,625.4000244140625,13400235
2024-01-10,624.7999877929688,625.2999877929688,618.2000122070312,621.75,621.75,12742464
2024-01-11,626.0,627.1500244140625,618.5,620.2000122070312,620.2000122070312,15533860
2024-01-12,623.7999877929688,636.5,621.0999755859375,633.5999755859375,633.5999755859375,16620797
2024-01-15,638.9000244140625,645.5,636.0999755859375,640.0999755859375,640.0999755859375,16844018
2024-01-16,640.0,644.9000244140625,633.4500122070312,636.9000244140625,636.9000244140625,15025543
2024-01-17,624.0,636.7999877929688,623.0,626.0,626.0,30016308
